SysDate-ms	SysDate	SysTime-ms	SameValues	U1	U2	U3	
05/17/2019 22:13:44 000	05/17/2019 22:13:44	000	1			
05/17/2019 22:13:45 001	05/17/2019 22:13:45	001	1			
05/17/2019 22:13:46 000	05/17/2019 22:13:46	000	1			
05/17/2019 22:13:47 000	05/17/2019 22:13:47	000	1			
05/17/2019 22:13:48 001	05/17/2019 22:13:48	001	1			
05/17/2019 22:13:49 000	05/17/2019 22:13:49	000	1			
05/17/2019 22:13:50 000	05/17/2019 22:13:50	000	1			
05/17/2019 22:13:51 001	05/17/2019 22:13:51	001	1			
05/17/2019 22:13:52 001	05/17/2019 22:13:52	001	1			
05/17/2019 22:13:53 000	05/17/2019 22:13:53	000	1			
05/17/2019 22:13:54 001	05/17/2019 22:13:54	001	1			
05/17/2019 22:13:55 000	05/17/2019 22:13:55	000	1			
05/17/2019 22:13:56 001	05/17/2019 22:13:56	001	1			
05/17/2019 22:13:57 000	05/17/2019 22:13:57	000	1			
05/17/2019 22:13:58 000	05/17/2019 22:13:58	000	1			
05/17/2019 22:13:59 001	05/17/2019 22:13:59	001	1			
05/17/2019 22:14:00 000	05/17/2019 22:14:00	000	1			
05/17/2019 22:14:01 001	05/17/2019 22:14:01	001	1			
05/17/2019 22:14:02 001	05/17/2019 22:14:02	001	1			
05/17/2019 22:14:03 000	05/17/2019 22:14:03	000	1			
05/17/2019 22:14:04 001	05/17/2019 22:14:04	001	1			
05/17/2019 22:14:05 000	05/17/2019 22:14:05	000	1			
05/17/2019 22:14:06 000	05/17/2019 22:14:06	000	1			
05/17/2019 22:14:07 000	05/17/2019 22:14:07	000	1			
05/17/2019 22:14:08 001	05/17/2019 22:14:08	001	1			
05/17/2019 22:14:09 000	05/17/2019 22:14:09	000	1			
05/17/2019 22:14:10 001	05/17/2019 22:14:10	001	1			
05/17/2019 22:14:11 001	05/17/2019 22:14:11	001	1			
05/17/2019 22:14:12 000	05/17/2019 22:14:12	000	1			
05/17/2019 22:14:13 001	05/17/2019 22:14:13	001	1			
05/17/2019 22:14:14 001	05/17/2019 22:14:14	001	1			
05/17/2019 22:14:15 001	05/17/2019 22:14:15	001	1			
05/17/2019 22:14:16 000	05/17/2019 22:14:16	000	1			
05/17/2019 22:14:17 000	05/17/2019 22:14:17	000	1			
05/17/2019 22:14:18 001	05/17/2019 22:14:18	001	1			
05/17/2019 22:14:19 000	05/17/2019 22:14:19	000	1			
05/17/2019 22:14:20 000	05/17/2019 22:14:20	000	1			
05/17/2019 22:14:21 000	05/17/2019 22:14:21	000	1			
05/17/2019 22:14:22 001	05/17/2019 22:14:22	001	1			
