SysDate-ms	SysDate	SysTime-ms	SameValues	Q	SMM_Time	SysMemoryLoad	P	K3	Rm	K2	Q1	P1	I2	I1	Q3	U2	Ap	P3	Q2	U1	f	P2	SysCpuLoad	SMX_SysDateTime	I3	Am	K1	Rp	U3	
03/13/2018 21:33:15 000	03/13/2018 21:33:15	000	0			50.484223142229055																	81.82062693868954	03/13/2018 21:33:15						
03/13/2018 21:33:16 002	03/13/2018 21:33:16	002	0			50.50741860127556																	82.37295790737613	03/13/2018 21:33:15						
03/13/2018 21:33:17 002	03/13/2018 21:33:17	002	0			50.44216044896844																	81.82971263324073	03/13/2018 21:33:16						
03/13/2018 21:33:18 001	03/13/2018 21:33:18	001	0			50.52207717487917																	80.20301252916533	03/13/2018 21:33:18						
03/13/2018 21:33:19 000	03/13/2018 21:33:19	000	0			50.49445783962277																	81.21669155914184	03/13/2018 21:33:19						
03/13/2018 21:33:20 001	03/13/2018 21:33:20	001	0			50.530135803434504																	82.27809147368714	03/13/2018 21:33:20						
03/13/2018 21:33:21 001	03/13/2018 21:33:21	001	0			50.485036178937904																	80.3627978358334	03/13/2018 21:33:21						
03/13/2018 21:33:22 001	03/13/2018 21:33:22	001	0			50.49539044055351																	82.41715021340741	03/13/2018 21:33:22						
03/13/2018 21:33:23 000	03/13/2018 21:33:23	000	0			50.57284414349333																	84.48548329200578	03/13/2018 21:33:23						
03/13/2018 21:33:24 003	03/13/2018 21:33:24	003	0			50.51590766102969																	83.32885046211918	03/13/2018 21:33:23						
03/13/2018 21:33:25 000	03/13/2018 21:33:25	000	0			50.611295997252896																	83.37369919573148	03/13/2018 21:33:25						
03/13/2018 21:33:26 000	03/13/2018 21:33:26	000	0			50.72959283839006																	80.96196709197935	03/13/2018 21:33:26						
03/13/2018 21:33:27 002	03/13/2018 21:33:27	002	0			50.91400869423196																	83.04285175902805	03/13/2018 21:33:27						
03/13/2018 21:33:28 001	03/13/2018 21:33:28	001	0			50.899684900449635																	87.0082416576427	03/13/2018 21:33:28						
03/13/2018 21:33:29 000	03/13/2018 21:33:29	000	0			50.862859120107764																	85.27511152845499	03/13/2018 21:33:28						
03/13/2018 21:33:30 003	03/13/2018 21:33:30	003	0			50.830505041664544																	82.27801939152566	03/13/2018 21:33:30						
03/13/2018 21:33:31 000	03/13/2018 21:33:31	000	0			50.840763651902634																	84.95966216954973	03/13/2018 21:33:31						
03/13/2018 21:33:32 000	03/13/2018 21:33:32	000	0			50.77622288492685																	80.62682118289865	03/13/2018 21:33:32						
03/13/2018 21:33:33 001	03/13/2018 21:33:33	001	0			50.81587038090531																	82.69499322247131	03/13/2018 21:33:33						
03/13/2018 21:33:34 004	03/13/2018 21:33:34	004	0			50.68121715421369																	82.03542676327754	03/13/2018 21:33:33						
03/13/2018 21:33:35 001	03/13/2018 21:33:35	001	0			50.755896967205686																	83.36732663766826	03/13/2018 21:33:35						
03/13/2018 21:33:36 000	03/13/2018 21:33:36	000	0			50.755896967205686																	83.36732663766826	03/13/2018 21:33:36						
03/13/2018 21:33:37 003	03/13/2018 21:33:37	003	0			50.7362406091271																	81.39386504244534	03/13/2018 21:33:37						
03/13/2018 21:33:38 003	03/13/2018 21:33:38	003	0			50.74241012297659																	79.15060388004802	03/13/2018 21:33:38						
03/13/2018 21:33:39 006	03/13/2018 21:33:39	006	0			50.80774001381684																	84.4176924063451	03/13/2018 21:33:39						
03/13/2018 21:33:40 000	03/13/2018 21:33:40	000	0			50.70450826463771																	81.74767963068336	03/13/2018 21:33:40						
03/13/2018 21:33:41 001	03/13/2018 21:33:41	001	0			50.89688709765743																	79.92236120463289	03/13/2018 21:33:41						
03/13/2018 21:33:42 001	03/13/2018 21:33:42	001	0			50.85788524847717																	81.15253239698616	03/13/2018 21:33:42						
03/13/2018 21:33:43 003	03/13/2018 21:33:43	003	0			50.87113296426249																	82.39949800191023	03/13/2018 21:33:42						
03/13/2018 21:33:44 001	03/13/2018 21:33:44	001	0			50.77737070145699																	81.1619382792939	03/13/2018 21:33:44						
03/13/2018 21:33:45 001	03/13/2018 21:33:45	001	0			50.8537483263998																	81.59878010559414	03/13/2018 21:33:45						
03/13/2018 21:33:46 000	03/13/2018 21:33:46	000	0			50.89095671225172																	80.73363750264438	03/13/2018 21:33:45						
03/13/2018 21:33:47 002	03/13/2018 21:33:47	002	0			50.81625298641535																	82.19238648239602	03/13/2018 21:33:47						
03/13/2018 21:33:48 001	03/13/2018 21:33:48	001	0			50.91156958410542																	83.4591020770873	03/13/2018 21:33:48						
03/13/2018 21:33:49 000	03/13/2018 21:33:49	000	0			51.01035354423027																	81.99934924673506	03/13/2018 21:33:49						
03/13/2018 21:33:50 002	03/13/2018 21:33:50	002	0			51.01035354423027																	81.99934924673506	03/13/2018 21:33:50						
03/13/2018 21:33:51 000	03/13/2018 21:33:51	000	0			50.98811459895888																	82.85093619670234	03/13/2018 21:33:51						
03/13/2018 21:33:52 007	03/13/2018 21:33:52	007	0			51.02257300770735																	84.2168227399889	03/13/2018 21:33:52						
03/13/2018 21:33:53 000	03/13/2018 21:33:53	000	0			51.00958833321018																	84.14212037953686	03/13/2018 21:33:53						
03/13/2018 21:33:54 002	03/13/2018 21:33:54	002	0			51.01759913607676																	82.45235499508004	03/13/2018 21:33:54						
03/13/2018 21:33:55 000	03/13/2018 21:33:55	000	0			51.01759913607676																	82.45235499508004	03/13/2018 21:33:55						
03/13/2018 21:33:56 001	03/13/2018 21:33:56	001	0			51.04320979240543																	83.44249209595237	03/13/2018 21:33:56						
03/13/2018 21:33:57 000	03/13/2018 21:33:57	000	0			50.98806677327013																	84.24844593569833	03/13/2018 21:33:57						
03/13/2018 21:33:58 000	03/13/2018 21:33:58	000	0			51.00817747539189																	85.7963531919578	03/13/2018 21:33:57						
03/13/2018 21:33:59 002	03/13/2018 21:33:59	002	0			50.95884527744041																	81.55170359768908	03/13/2018 21:33:59						
03/13/2018 21:34:00 000	03/13/2018 21:34:00	000	0			51.01549480577151																	80.99399699509834	03/13/2018 21:34:00						
03/13/2018 21:34:01 001	03/13/2018 21:34:01	001	0			50.99930581012771																	81.89618093496294	03/13/2018 21:34:01						
03/13/2018 21:34:02 000	03/13/2018 21:34:02	000	1			50.99930581012771																	81.89618093496294	03/13/2018 21:34:01						
03/13/2018 21:34:03 002	03/13/2018 21:34:03	002	0			51.0188426039844																	84.15005899797433	03/13/2018 21:34:03						
03/13/2018 21:34:04 000	03/13/2018 21:34:04	000	0			51.00499706708964																	82.55625777626258	03/13/2018 21:34:03						
03/13/2018 21:34:05 006	03/13/2018 21:34:05	006	0			51.011620924982296																	84.46988987053255	03/13/2018 21:34:05						
03/13/2018 21:34:06 000	03/13/2018 21:34:06	000	0			51.00521228268904																	85.1041834536024	03/13/2018 21:34:06						
03/13/2018 21:34:07 000	03/13/2018 21:34:07	000	0			50.95729094255585																	81.00994582966253	03/13/2018 21:34:06						
03/13/2018 21:34:08 000	03/13/2018 21:34:08	000	0			51.10531144925467																	82.56488911490075	03/13/2018 21:34:07						
03/13/2018 21:34:09 001	03/13/2018 21:34:09	001	0			51.05729445774397																	84.7615223733662	03/13/2018 21:34:08						
03/13/2018 21:34:10 000	03/13/2018 21:34:10	000	0			51.09555500874851																	84.92202045047752	03/13/2018 21:34:09						
03/13/2018 21:34:11 000	03/13/2018 21:34:11	000	0			51.06523352207741																	82.92955893220137	03/13/2018 21:34:11						
03/13/2018 21:34:12 001	03/13/2018 21:34:12	001	0			51.14220896812968																	82.0083682427311	03/13/2018 21:34:12						
03/13/2018 21:34:13 000	03/13/2018 21:34:13	000	0			51.08718551321627																	84.13419220553007	03/13/2018 21:34:12						
03/13/2018 21:34:14 002	03/13/2018 21:34:14	002	0			51.1249199816445																	85.27512067784954	03/13/2018 21:34:14						
03/13/2018 21:34:15 002	03/13/2018 21:34:15	002	0			51.091370260982394																	82.87656561739907	03/13/2018 21:34:15						
03/13/2018 21:34:16 002	03/13/2018 21:34:16	002	0			51.14452851403433																	84.46989454018437	03/13/2018 21:34:16						
03/13/2018 21:34:17 000	03/13/2018 21:34:17	000	0			51.151367587526394																	79.9425185202375	03/13/2018 21:34:16						
03/13/2018 21:34:18 001	03/13/2018 21:34:18	001	0			51.14663284433958																	84.35511221865235	03/13/2018 21:34:17						
03/13/2018 21:34:19 000	03/13/2018 21:34:19	000	0			51.12613953670777																	84.15797447631448	03/13/2018 21:34:19						
03/13/2018 21:34:20 001	03/13/2018 21:34:20	001	0			51.111217921816																	80.93667593138274	03/13/2018 21:34:20						
03/13/2018 21:34:21 001	03/13/2018 21:34:21	001	0			51.168943528144105																	83.88215669382284	03/13/2018 21:34:21						
03/13/2018 21:34:22 000	03/13/2018 21:34:22	000	0			51.105909270364116																	81.75678542749334	03/13/2018 21:34:22						
03/13/2018 21:34:23 000	03/13/2018 21:34:23	000	0			51.13804813320793																	79.81230575425042	03/13/2018 21:34:23						
03/13/2018 21:34:24 002	03/13/2018 21:34:24	002	0			51.13804813320793																	79.81230575425042	03/13/2018 21:34:24						
03/13/2018 21:34:25 003	03/13/2018 21:34:25	003	0			51.214377932462																	79.85270584993866	03/13/2018 21:34:25						
03/13/2018 21:34:26 000	03/13/2018 21:34:26	000	0			51.214377932462																	79.85270584993866	03/13/2018 21:34:26						
03/13/2018 21:34:27 003	03/13/2018 21:34:27	003	0			51.23805164839606																	84.60812713102874	03/13/2018 21:34:27						
03/13/2018 21:34:28 000	03/13/2018 21:34:28	000	0			51.22487567114387																	84.81482906493218	03/13/2018 21:34:28						
03/13/2018 21:34:29 001	03/13/2018 21:34:29	001	0			51.25773191931902																	84.24056016634864	03/13/2018 21:34:29						
03/13/2018 21:34:30 007	03/13/2018 21:34:30	007	0			51.25773191931902																	84.24056016634864	03/13/2018 21:34:30						
03/13/2018 21:34:31 000	03/13/2018 21:34:31	000	0			51.29718811254246																	83.0655138134788	03/13/2018 21:34:30						
03/13/2018 21:34:32 001	03/13/2018 21:34:32	001	0			51.30990974575146																	82.17066048981039	03/13/2018 21:34:32						
03/13/2018 21:34:33 004	03/13/2018 21:34:33	004	0			51.35527241153623																	84.2484506600666	03/13/2018 21:34:33						
03/13/2018 21:34:34 000	03/13/2018 21:34:34	000	0			51.34649639764956																	81.9540240505218	03/13/2018 21:34:34						
03/13/2018 21:34:35 001	03/13/2018 21:34:35	001	0			51.37760700818513																	79.95257102723616	03/13/2018 21:34:35						
03/13/2018 21:34:36 000	03/13/2018 21:34:36	000	1			51.37760700818513																	79.95257102723616	03/13/2018 21:34:35						
03/13/2018 21:34:37 001	03/13/2018 21:34:37	001	0			51.287144717903765																	81.1619557753659	03/13/2018 21:34:37						
03/13/2018 21:34:38 001	03/13/2018 21:34:38	001	0			51.35804630148405																	82.66024770688499	03/13/2018 21:34:38						
03/13/2018 21:34:39 002	03/13/2018 21:34:39	002	0			51.401065508519785																	80.86381724887136	03/13/2018 21:34:39						
03/13/2018 21:34:40 000	03/13/2018 21:34:40	000	0			51.34152252601897																	79.55179761283881	03/13/2018 21:34:40						
03/13/2018 21:34:41 000	03/13/2018 21:34:41	000	0			51.309335837486394																	82.66025077488534	03/13/2018 21:34:41						
03/13/2018 21:34:42 001	03/13/2018 21:34:42	001	0			51.342789906770996																	82.69499533442546	03/13/2018 21:34:42						
03/13/2018 21:34:43 007	03/13/2018 21:34:43	007	0			51.36206365933953																	78.43366467528904	03/13/2018 21:34:43						
03/13/2018 21:34:44 000	03/13/2018 21:34:44	000	0			51.350633319726924																	84.18960400483864	03/13/2018 21:34:43						
03/13/2018 21:34:45 000	03/13/2018 21:34:45	000	0			51.34027905811132																	81.25307963423158	03/13/2018 21:34:45						
03/13/2018 21:34:46 004	03/13/2018 21:34:46	004	0			51.32777264050171																	79.16108142149653	03/13/2018 21:34:46						
03/13/2018 21:34:47 000	03/13/2018 21:34:47	000	0			51.312994502676204																	81.06045797833666	03/13/2018 21:34:46						
03/13/2018 21:34:48 002	03/13/2018 21:34:48	002	0			51.32844220014429																	81.70168616149846	03/13/2018 21:34:48						
03/13/2018 21:34:49 000	03/13/2018 21:34:49	000	0			51.33989645260127																	83.87408550440206	03/13/2018 21:34:49						
03/13/2018 21:34:50 000	03/13/2018 21:34:50	000	0			51.38817648540013																	85.78208732799762	03/13/2018 21:34:50						
03/13/2018 21:34:51 001	03/13/2018 21:34:51	001	0			51.36462233368796																	84.12622341512501	03/13/2018 21:34:50						
03/13/2018 21:34:52 000	03/13/2018 21:34:52	000	0			51.3535745995854																	82.32237073873804	03/13/2018 21:34:51						
03/13/2018 21:34:53 000	03/13/2018 21:34:53	000	0			51.392552535921276																	83.6950480592186	03/13/2018 21:34:53						
03/13/2018 21:34:54 000	03/13/2018 21:34:54	000	0			51.34400946183426																	81.49618316332587	03/13/2018 21:34:54						
03/13/2018 21:34:55 001	03/13/2018 21:34:55	001	0			51.34400946183426																	81.49618316332587	03/13/2018 21:34:55						
03/13/2018 21:34:56 001	03/13/2018 21:34:56	001	0			51.2668188001826																	80.6228771826934	03/13/2018 21:34:56						
03/13/2018 21:34:57 000	03/13/2018 21:34:57	000	0			51.335783443368285																	83.06844668361381	03/13/2018 21:34:57						
